Using device: cuda
[RUN] 20251004-225826_TinyNet_d4_bs512_lr0.001
[IO ] checkpoints dir: checkpoints/20251004-225826_TinyNet_d4_bs512_lr0.001
[IO ] metrics dir    : metrics/20251004-225826_TinyNet_d4_bs512_lr0.001
[IO ] plots dir      : plots/20251004-225826_TinyNet_d4_bs512_lr0.001
[IO ] checkpoint file: checkpoints/20251004-225826_TinyNet_d4_bs512_lr0.001/20251004-225826_TinyNet_d4_bs512_lr0.001_best.pth
[IO ] metrics file   : metrics/20251004-225826_TinyNet_d4_bs512_lr0.001/20251004-225826_TinyNet_d4_bs512_lr0.001_metrics.json
Epoch 01/500 | train_loss=4.3037 | train_top1=10.52% | train_top5=27.80% | val_loss=3.9089 | val_top1=15.03% | val_top5=36.77% | epoch_time=23.5s
Epoch 02/500 | train_loss=3.6240 | train_top1=20.04% | train_top5=44.18% | val_loss=3.6712 | val_top1=18.84% | val_top5=42.51% | epoch_time=13.5s
Epoch 03/500 | train_loss=3.3008 | train_top1=25.93% | train_top5=51.56% | val_loss=3.4661 | val_top1=23.43% | val_top5=48.18% | epoch_time=12.1s
Epoch 04/500 | train_loss=3.0953 | train_top1=29.56% | train_top5=55.87% | val_loss=3.5216 | val_top1=22.77% | val_top5=46.66% | epoch_time=12.2s
Epoch 05/500 | train_loss=2.9419 | train_top1=32.42% | train_top5=59.27% | val_loss=3.2692 | val_top1=25.81% | val_top5=52.75% | epoch_time=12.1s
Epoch 06/500 | train_loss=2.8115 | train_top1=34.89% | train_top5=61.95% | val_loss=3.0166 | val_top1=30.99% | val_top5=57.65% | epoch_time=12.2s
Epoch 07/500 | train_loss=2.7092 | train_top1=36.85% | train_top5=63.98% | val_loss=2.8540 | val_top1=34.11% | val_top5=60.95% | epoch_time=12.1s
Epoch 08/500 | train_loss=2.6074 | train_top1=39.02% | train_top5=66.02% | val_loss=2.8663 | val_top1=33.41% | val_top5=60.78% | epoch_time=12.1s
Epoch 09/500 | train_loss=2.5234 | train_top1=40.46% | train_top5=67.60% | val_loss=2.8822 | val_top1=33.16% | val_top5=60.38% | epoch_time=12.2s
Epoch 10/500 | train_loss=2.4509 | train_top1=42.00% | train_top5=68.91% | val_loss=2.9618 | val_top1=32.78% | val_top5=59.38% | epoch_time=12.1s
Epoch 11/500 | train_loss=2.3860 | train_top1=43.45% | train_top5=70.06% | val_loss=2.8710 | val_top1=34.72% | val_top5=61.33% | epoch_time=12.2s
Epoch 12/500 | train_loss=2.3121 | train_top1=45.02% | train_top5=71.48% | val_loss=2.6572 | val_top1=38.16% | val_top5=64.57% | epoch_time=12.1s
Epoch 13/500 | train_loss=2.2605 | train_top1=45.95% | train_top5=72.30% | val_loss=2.6996 | val_top1=37.47% | val_top5=64.13% | epoch_time=12.2s
Epoch 14/500 | train_loss=2.2021 | train_top1=47.10% | train_top5=73.34% | val_loss=2.6460 | val_top1=38.73% | val_top5=65.41% | epoch_time=12.1s
Epoch 15/500 | train_loss=2.1519 | train_top1=48.28% | train_top5=74.26% | val_loss=2.5815 | val_top1=39.60% | val_top5=66.27% | epoch_time=12.1s
