Using device: cuda
[RUN] 20251008-224417_ResNet18_bs512_lr0.001
[IO ] checkpoints dir: checkpoints/20251008-224417_ResNet18_bs512_lr0.001
[IO ] metrics dir    : metrics/20251008-224417_ResNet18_bs512_lr0.001
[IO ] plots dir      : plots/20251008-224417_ResNet18_bs512_lr0.001
[IO ] checkpoint file: checkpoints/20251008-224417_ResNet18_bs512_lr0.001/20251008-224417_ResNet18_bs512_lr0.001_best.pth
[IO ] metrics file   : metrics/20251008-224417_ResNet18_bs512_lr0.001/20251008-224417_ResNet18_bs512_lr0.001_metrics.json
Training started..
Epoch 01/300 | train_loss=4.2789 | train_top1=10.18% | train_top5=27.74% | val_loss=4.1736 | val_top1=12.28% | val_top5=31.75% | epoch_time=146.7s
Epoch 02/300 | train_loss=3.4658 | train_top1=21.21% | train_top5=47.22% | val_loss=3.3243 | val_top1=23.79% | val_top5=50.18% | epoch_time=145.2s
Epoch 03/300 | train_loss=3.0477 | train_top1=28.96% | train_top5=56.67% | val_loss=3.4644 | val_top1=23.03% | val_top5=49.51% | epoch_time=145.2s
Epoch 04/300 | train_loss=2.7463 | train_top1=34.73% | train_top5=63.08% | val_loss=2.8772 | val_top1=32.18% | val_top5=60.68% | epoch_time=145.3s
Epoch 05/300 | train_loss=2.5064 | train_top1=39.49% | train_top5=67.77% | val_loss=2.7539 | val_top1=35.26% | val_top5=63.29% | epoch_time=145.3s
Epoch 06/300 | train_loss=2.3090 | train_top1=43.51% | train_top5=71.43% | val_loss=2.5948 | val_top1=38.16% | val_top5=66.14% | epoch_time=145.3s
Epoch 07/300 | train_loss=2.1499 | train_top1=47.05% | train_top5=74.44% | val_loss=2.5285 | val_top1=40.82% | val_top5=68.36% | epoch_time=145.3s
Epoch 08/300 | train_loss=2.0121 | train_top1=49.79% | train_top5=76.71% | val_loss=2.4747 | val_top1=41.21% | val_top5=69.35% | epoch_time=145.3s
Epoch 09/300 | train_loss=1.8795 | train_top1=52.55% | train_top5=78.96% | val_loss=2.3548 | val_top1=43.08% | val_top5=71.33% | epoch_time=145.3s
Epoch 10/300 | train_loss=1.7554 | train_top1=55.45% | train_top5=81.01% | val_loss=2.2779 | val_top1=45.38% | val_top5=72.19% | epoch_time=145.3s
Epoch 11/300 | train_loss=1.6470 | train_top1=57.85% | train_top5=82.70% | val_loss=2.2346 | val_top1=47.01% | val_top5=73.53% | epoch_time=145.3s
Epoch 12/300 | train_loss=1.5436 | train_top1=60.21% | train_top5=84.33% | val_loss=2.2647 | val_top1=47.08% | val_top5=73.63% | epoch_time=145.2s
Epoch 13/300 | train_loss=1.4405 | train_top1=62.39% | train_top5=85.93% | val_loss=2.1617 | val_top1=48.61% | val_top5=74.34% | epoch_time=145.2s
Epoch 14/300 | train_loss=1.3488 | train_top1=64.41% | train_top5=87.22% | val_loss=2.2441 | val_top1=47.57% | val_top5=73.84% | epoch_time=145.2s
Epoch 15/300 | train_loss=1.2494 | train_top1=66.86% | train_top5=88.64% | val_loss=2.2229 | val_top1=48.31% | val_top5=74.18% | epoch_time=145.2s
